Tracker,Subject,Description,Status,Fase
Task,B-14 - Persistir resultado simulação,"Issue B-14 (Delivery – Backend) - Persistir resultado simulação.
Status atual: Closed.",Closed,Delivery – Backend
Task,B-15 - Atualização de status da proposta,"Issue B-15 (Delivery – Backend) - Atualização de status da proposta.
Status atual: Closed.",Closed,Delivery – Backend
Task,B-16 - Cliente SMTP / e-mail (mock),"Issue B-16 (Delivery – Backend) - Cliente SMTP / e-mail (mock).
Status atual: Closed.",Closed,Delivery – Backend
Task,B-17 - Template HTML de e-mail da simulação,"Issue B-17 (Delivery – Backend) - Template HTML de e-mail da simulação.
Status atual: In Progress.
Próximo passo: criar template HTML mais rico para o corpo do e-mail de simulação.",In Progress,Delivery – Backend
Task,B-18 - Função enviar_email_simulacao,"Issue B-18 (Delivery – Backend) - Função enviar_email_simulacao.
Status atual: Closed.",Closed,Delivery – Backend
Task,F-01 - Projeto Vue 3 + Vite + Vuetify + Pinia,"Issue F-01 (Delivery – Frontend) - Projeto Vue 3 + Vite + Vuetify + Pinia.
Status atual: Closed.",Closed,Delivery – Frontend
Task,F-02 - Configuração Axios + interceptor correlation-id,"Issue F-02 (Delivery – Frontend) - Configuração Axios + interceptor correlation-id.
Status atual: Closed.",Closed,Delivery – Frontend
Task,F-03 - Vue Router básico,"Issue F-03 (Delivery – Frontend) - Vue Router básico.
Status atual: Closed.",Closed,Delivery – Frontend
Task,F-04 - Layout base (mínimo),"Issue F-04 (Delivery – Frontend) - Layout base (mínimo).
Status atual: Closed.",Closed,Delivery – Frontend
Task,F-05 - Tela PropostaFormularioView,"Issue F-05 (Delivery – Frontend) - Tela PropostaFormularioView.
Status atual: Closed.",Closed,Delivery – Frontend
Task,F-06 - Tela PropostaAcompanhamentoView,"Issue F-06 (Delivery – Frontend) - Tela PropostaAcompanhamentoView.
Status atual: Closed.",Closed,Delivery – Frontend
Task,F-07 - Store Pinia usePropostaStore,"Issue F-07 (Delivery – Frontend) - Store Pinia usePropostaStore.
Status atual: Closed.",Closed,Delivery – Frontend
Task,F-08 - Skeleton loader no formulário,"Issue F-08 (Delivery – Frontend) - Skeleton loader no formulário.
Status atual: Closed.",Closed,Delivery – Frontend
Task,F-09 - Skeleton loader no acompanhamento,"Issue F-09 (Delivery – Frontend) - Skeleton loader no acompanhamento.
Status atual: Closed.",Closed,Delivery – Frontend
Task,F-10 - Cards de status customizados na UI,"Issue F-10 (Delivery – Frontend) - Cards de status customizados na UI.
Status atual: In Progress.
Próximo passo: enriquecer UI com chips/steps Vuetify para representar a jornada da proposta.",In Progress,Delivery – Frontend
Task,S-01 - Log estruturado com correlation-id,"Issue S-01 (Scale) - Log estruturado com correlation-id.
Status atual: Closed.",Closed,Scale
Task,S-02 - Modelo de dashboard (Power BI / etc.),"Issue S-02 (Scale) - Modelo de dashboard (Power BI / etc.).
Status atual: Closed.",Closed,Scale
Task,S-03 - Retry/circuit breaker em chamadas externas,"Issue S-03 (Scale) - Retry/circuit breaker em chamadas externas.
Status atual: Closed.",Closed,Scale
Task,S-04 - Mascaramento de dados sensíveis,"Issue S-04 (Scale) - Mascaramento de dados sensíveis.
Status atual: Closed.",Closed,Scale
Task,S-05 - RBAC backend/frontend,"Issue S-05 (Scale) - RBAC backend/frontend.
Status atual: Closed.",Closed,Scale
Task,S-06 - Testes automatizados (pytest),"Issue S-06 (Scale) - Testes automatizados (pytest).
Status atual: Closed.",Closed,Scale
